Gene,OrigName,PIRATE_Cluster,Af293_name,Af293_Evalue,VOG,VOG_Evalue,Pfam_hits,SPROT_name,SPROT_Evalue,SPROT_gene,SPROT_taxa
B5289-CDC-25_006592-T1,Afum_B5289_CDC_25_mRNA_06416,g000039,Afu1g14640-T-p1,3.2e-172,NA,NA,NA,NA,NA,NA,NA
IFM-62516_006845-T1,Afum_IFM_62516_mRNA_06615,g000040,Afu5g09860-T-p1,2.6e-202,NA,NA,Esterase=9.4e-58;Esterase_PHB=1.5e-07;Peptidase_S9=1.6e-06,sp|B0BNE5|ESTD_RAT,2.1e-98,ESTD_RAT,RAT
COH-885_001863-T1,Afum_COH_885_mRNA_01756,g000041,Afu1g01560-T-p1,9e-297,NA,NA,Zn_clus=3.3e-07,NA,NA,NA,NA
DMC2AF100-1-15_009967-T1,Afum_DMC2_AF1001_15_mRNA_09768,g000042,Afu8g02510-T-p1,0,NA,NA,Glyco_hydro_43=1.3e-23,NA,NA,NA,NA
IFM-59056_007776-T1,Afum_IFM_59056_mRNA_07625,g000043,Afu6g03280-T-p1,0,NA,NA,CBM_1=4e-12;Expansin_C=4.4e-14,NA,NA,NA,NA
AZTEC-13-751_008793-T1,Afum_AZTEC_13_751_mRNA_08520,g000044,Afu6g12930-T-p1,0,NA,NA,Aconitase=1.9e-157;Aconitase_C=4e-44,sp|Q4WLN1|ACON_ASPFU,0,ACON_ASPFU,ASPFU
AF100-12-17_001963-T1,Afum_AF100_12_17_mRNA_01846,g000045,Afu1g02450-T-p1,0,NA,NA,DUF4246=5e-138,NA,NA,NA,NA
AZTEC-7-225_006903-T1,Afum_AZTEC_7_225_mRNA_06714,g000046,Afu6g06730-T-p1,0,NA,NA,MFS_1=1.7e-15;Sugar_tr=1.1e-06,sp|P0C105|GLUP_BRUAB,1.7e-52,GLUP_BRUAB,BRUAB
AZTEC-17-234_006220-T1,Afum_AZTEC_17_234_mRNA_05973,g000047,Afu5g12730-T-p1,0,NA,NA,AMP-binding=0;AMP-binding=0;AMP-binding=0;AMP-binding=0;AMP-binding=0;AMP-binding=0;Condensation=0;Condensation=0;Condensation=0;Condensation=0;Condensation=0;Condensation=0;Condensation=0;Condensation=0;Condensation=0;Condensation=0;PP-binding=3.6e-89;PP-binding=3.6e-89;PP-binding=3.6e-89;PP-binding=3.6e-89;PP-binding=3.6e-89;PP-binding=3.6e-89;PP-binding=3.6e-89,sp|Q4WVN4|NRPS8_ASPFU,0,NRPS8_ASPFU,ASPFU
IFM-62516_004039-T1,Afum_IFM_62516_mRNA_03856,g000048,Afu3g07600-T-p1,0,NA,NA,NA,NA,NA,NA,NA
AFIS-2302-CDC-18_009627-T1,Afum_AFIS_2302_CDC_18_mRNA_09453,g000049_1,Afu5g05850-T-p1,8.5e-299,NA,NA,Es2=3.7e-137;MFS_1=1.5e-25;Sugar_tr=5e-107,sp|P32466|HXT3_YEAST,2.8e-98,HXT3_YEAST,YEAST
AZTEC-7-225_009145-T1,Afum_AZTEC_7_225_mRNA_08929,g000049_2,Afu7g00950-T-p1,0,NA,NA,MFS_1=6.5e-28;Sugar_tr=1.4e-144,sp|P32466|HXT3_YEAST,4.3e-140,HXT3_YEAST,YEAST
AF100-12-7_009623-T1,Afum_AF100_12_7_mRNA_09404,g000050,Afu7g00652-T-p1,0,NA,NA,Fungal_trans=2.5e-12;zf-C2H2=1.7e-11;zf-C2H2=1.7e-11;zf-met=6e-08;Zn_clus=9.8e-07,sp|P08045|XFIN_XENLA,1.3e-107,XFIN_XENLA,XENLA
SF3S10_004755-T1,Afum_SF3S10_mRNA_04640,g000051,Afu5g12060-T-p1,0,NA,NA,Fungal_trans=2.9e-24;PP-binding=1.3e-09;Zn_clus=2.4e-06,sp|S0EJF2|TF177_GIBF5,1.7e-42,TF177_GIBF5,GIBF5
AF100-12-40_002828-T1,Afum_AF100_12_40_mRNA_02711,g000052,Afu2g05980-T-p1,0,NA,NA,Cyclase=2e-12;Vps62=1e-12,sp|Q06466|TDA6_YEAST,9.4e-65,TDA6_YEAST,YEAST
IFM-59073_001977-T1,Afum_IFM_59073_mRNA_01849,g000053,Afu1g02770-T-p1,8.4e-220,NA,NA,DUF3712=2.9e-42,NA,NA,NA,NA
F15767_001321-T1,Afum_F15767_mRNA_01305,g000054_1,Afu1g13800-T-p1,0,NA,NA,MFS_1=7.9e-42;Sugar_tr=5e-11,sp|Q4WS70|MDRA_ASPFU,0,MDRA_ASPFU,ASPFU
AF72_001603-T1,Afum_AF72_mRNA_01560,g000054_2,Afu1g13800-T-p1,0,NA,NA,MFS_1=4.4e-41;Sugar_tr=2.5e-10,sp|Q4WS70|MDRA_ASPFU,0,MDRA_ASPFU,ASPFU
DMC2-AF100-8B_009432-T1,Afum_DMC2_AF100_8B_mRNA_09268,g000055,Afu8g05960-T-p1,1.6e-95,NA,NA,MARVEL=2.2e-14,NA,NA,NA,NA
IFM-61578_008345-T1,Afum_IFM_61578_mRNA_08116,g000056,Afu4g08510-T-p1,0,NA,NA,mRNA_triPase=1.1e-66;Rdx=2.6e-18,sp|Q9P6Q6|CET1_SCHPO,4.8e-24,CET1_SCHPO,SCHPO
Af-M1509-D_008476-T1,Afum_Af_M1509_D_mRNA_08342,g000057,Afu5g09510-T-p1,0,NA,NA,NA,NA,NA,NA,NA
IFM-59056_004245-T1,Afum_IFM_59056_mRNA_04154,g000058,Afu3g09920-T-p1,3.3e-188,NA,NA,Mis14=6e-44,NA,NA,NA,NA
CEA10_003274-T1,Afum_CEA10_mRNA_03084,g000059,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF100-12-35_002339-T1,Afum_AF100_12_35_mRNA_02261,g000060,Afu1g08790-T-p1,0,NA,NA,CRM1_C=5.6e-140;CRM1_repeat=6.5e-21;CRM1_repeat_2=2.9e-36;CRM1_repeat_3=4e-31;IBN_N=1.4e-12;Xpo1=2.2e-43,sp|P14068|XPO1_SCHPO,0,XPO1_SCHPO,SCHPO
AF100-12-7G_007916-T1,Afum_AF100_12_7G_mRNA_07550,g000061,Afu4g02870-T-p1,0,NA,NA,MFS_1=4.8e-35,sp|B5BP49|YP55_SCHPO,3.1e-82,YP55_SCHPO,SCHPO
IFM-61610_006428-T1,Afum_IFM_61610_mRNA_06295,g000062,Afu6g01840-T-p1,0,NA,NA,Fungal_trans=1.4e-09;Zn_clus=1.4e-08,sp|L7WMF4|NOTL_ASPVE,1.8e-104,NOTL_ASPVE,ASPVE
AF100-12-21_001689-T1,Afum_AF100_12_21_mRNA_01619,g000063,Afu1g01270-T-p1,0,NA,NA,p450=4e-59,sp|G0KYA9|TRI11_TRIAR,1.6e-132,TRI11_TRIAR,TRIAR
LMB-35Aa_002693-T1,Afum_LMB_35Aa_mRNA_02639,g000064,Afu3g08990-T-p1,7.8e-230,NA,NA,NA,sp|P17140|CO4A2_CAEEL,3.2e-87,CO4A2_CAEEL,CAEEL
MO78722EXP_001900-T1,Afum_MO78722EXP_mRNA_01857,g000065,NA,NA,NA,NA,MRP-L28=5.4e-08,NA,NA,NA,NA
IFM-59359_000401-T1,Afum_IFM_59359_mRNA_00398,g000066,Afu1g04560-T-p1,0,NA,NA,Amidohydro_1=2.8e-76;Urease_alpha=2.5e-58;Urease_beta=3.2e-43;Urease_gamma=6.3e-41,sp|Q6A3P9|UREA_ASPFU,0,UREA_ASPFU,ASPFU
IFM-59073_001297-T1,Afum_IFM_59073_mRNA_01278,g000067,Afu2g14290-T-p1,0,NA,NA,IF-2B=8.4e-19;NUDIX=3.8e-12,NA,NA,NA,NA
IFM-61610_009385-T1,Afum_IFM_61610_mRNA_09212,g000068,Afu8g05160-T-p1,8.9e-298,NA,NA,Peroxin-13_N=1.2e-54;SH3_1=1.3e-09;SH3_2=2.1e-10,sp|P80667|PEX13_YEAST,4.9e-71,PEX13_YEAST,YEAST
IFM-59777_002192-T1,Afum_IFM_59777_mRNA_02081,g000069,Afu1g05280-T-p1,0,NA,NA,Vps8=2e-65,sp|Q8N3P4|VPS8_HUMAN,1.7e-75,VPS8_HUMAN,HUMAN
IFM-59356-2_002260-T1,Afum_IFM_59356_2_mRNA_02135,g000070_1,Afu1g05620-T-p1,0,NA,NA,B3_4=6.2e-26;B5=2.1e-22;PhetRS_B1=2e-36;tRNA_synthFbeta=9.5e-54,sp|O13432|SYFB_CANAX,1.8e-235,SYFB_CANAX,CANAX
IFM-61118_002251-T1,Afum_IFM_61118_mRNA_02166,g000070_2,Afu1g05620-T-p1,0,NA,NA,B3_4=6.2e-26;B5=2.1e-22;PhetRS_B1=2e-36;tRNA_synthFbeta=9.5e-54,sp|O13432|SYFB_CANAX,1.8e-235,SYFB_CANAX,CANAX
IFM-61118_007754-T1,Afum_IFM_61118_mRNA_07557,g000071,Afu4g00970-T-p1,8.5e-287,NA,NA,ISN1=4.1e-186,sp|Q4W9B9|ISN1_ASPFU,4.9e-285,ISN1_ASPFU,ASPFU
AZTEC-17-234_001775-T1,Afum_AZTEC_17_234_mRNA_10051,g000072_1,Afu7g05080-T-p1,0,NA,NA,Fungal_trans=2.2e-11;Sugar_tr=2.9e-77;Zn_clus=3.6e-08,sp|P15685|MAL61_YEASX,1.7e-93,MAL61_YEASX,YEASX
AF100-12-35_008754-T1,Afum_AF100_12_35_mRNA_08538,g000072_2,Afu7g05085-T-p1,0,NA,NA,DUF2264=3e-132;Fungal_trans=1.4e-11;Zn_clus=5e-08,NA,NA,NA,NA
MO76959EXP_008079-T1,Afum_MO76959EXP_mRNA_07917,g000073,Afu3g07900-T-p1,1.1e-129,NA,NA,Spherulin4=6.2e-49,NA,NA,NA,NA
DMC2-AF100-12-9_005425-T1,Afum_DMC2_AF100_12_9_mRNA_05313,g000074,Afu2g09060-T-p1,0,NA,NA,AAA_5=1.3e-06;MCM=8.3e-104;MCM_lid=4.9e-31;MCM_N=1.2e-17;MCM_OB=8.8e-41;Mg_chelatase=3.8e-07,sp|P29458|MCM4_SCHPO,0,MCM4_SCHPO,SCHPO
ASFUM84-NIH_000770-T1,Afum_84_NIH_mRNA_00760,g000075,Afu1g08790-T-p1,2.9e-226,NA,NA,AA_permease=1.3e-08;AA_permease_2=1.5e-22;CRM1_C=1.4e-128,sp|P14068|XPO1_SCHPO,5.7e-127,XPO1_SCHPO,SCHPO
AF106-6-2_000394-T1,Afum_AF106_6_2_mRNA_00386,g000076,Afu2g04440-T-p1,5.6e-294,NA,NA,zf-C2H2_2=5.4e-40;zf-C2H2_2=5.4e-40;zf-C2H2_jaz=1.6e-10;zf-met=3.8e-08,sp|G0S920|REI1_CHATD,6.3e-105,REI1_CHATD,CHATD
DMC2AF100-1-8_008354-T1,Afum_DMC2_AF100_1_8_mRNA_08142,g000077,Afu6g06730-T-p1,5.1e-179,NA,NA,GFO_IDH_MocA_C=1.5e-17;MFS_1=1.8e-17;Sugar_tr=5.8e-07,sp|P0C105|GLUP_BRUAB,3.1e-33,GLUP_BRUAB,BRUAB
AF100-12-26_000526-T1,Afum_AF100_12_26_mRNA_00516,g000078,Afu2g05150-T-p1,7.4e-188,NA,NA,HsbA=4.3e-27,sp|O42721|MP1_TALMA,2.5e-55,MP1_TALMA,TALMA
AF100-12-25_006066-T1,Afum_AF100_12_25_mRNA_05877,g000079,Afu5g12130-T-p1,1.2e-105,VOG05232,1.8e-32,Arf=2.3e-14;Gtr1_RagA=2e-07;MMR_HSR1=7.7e-09;Ras=3.5e-58;Roc=1.9e-33,sp|C8VQY7|YPT7_EMENI,1.3e-127,YPT7_EMENI,EMENI
IFM-59056_009507-T1,Afum_IFM_59056_mRNA_09325,g000080,Afu7g00250-T-p1,0,NA,NA,Tubulin=1.9e-69;Tubulin_C=2.8e-41,sp|Q4WA70|TBB_ASPFU,0,TBB_ASPFU,ASPFU
AZTEC-11-1066_000885-T1,Afum_AZTEC_11_1066_mRNA_00869,g000081,Afu2g10090-T-p1,6.3e-93,NA,NA,Ribosomal_S19=5.8e-35,sp|P34737|RS15_PODAS,6.2e-83,RS15_PODAS,PODAS
IFM-62516_009062-T1,Afum_IFM_62516_mRNA_08783,g000082,Afu8g06000-T-p1,5.8e-247,NA,NA,FMN_dh=1.7e-93;FMN_dh=1.7e-93,sp|Q9HDX2|YKN3_SCHPO,2.5e-148,YKN3_SCHPO,SCHPO
IFM-59356-2_004438-T1,Afum_IFM_59356_2_mRNA_04249,g000083,Afu3g10010-T-p1,9.7e-177,NA,NA,2OG-FeII_Oxy_3=4.7e-12,NA,NA,NA,NA
AF100-12-23_005621-T1,Afum_AF100_12_23_mRNA_05491,g000084,Afu1g07010-T-p1,3.7e-289,NA,NA,CTP_transf_1=1.7e-81,sp|Q9P381|CDSH_SCHPO,4.6e-153,CDSH_SCHPO,SCHPO
IFM-59359_007847-T1,Afum_IFM_59359_mRNA_07341,g000085_1,Afu4g00530-T-p1,0,NA,NA,DUF3638=2.3e-95;DUF3645=8.3e-17,NA,NA,NA,NA
ASFUM12-7504462_001932-T1,Afum_12_7504462_mRNA_10417,g000085_2,Afu4g00530-T-p1,0,NA,NA,DUF3638=8.8e-99;DUF3645=3.6e-19,NA,NA,NA,NA
A1163_009317-T1,Afum_A1163_mRNA_10359,g000085_3,Afu4g00530-T-p1,6.3e-187,NA,NA,NA,NA,NA,NA,NA
AF100-12-43_001666-T1,Afum_AF100_12_43_mRNA_01642,g000086,Afu2g17610-T-p1,0,NA,NA,Sulfatase=2.2e-21,NA,NA,NA,NA
IFM-58401_002941-T1,Afum_IFM_58401_mRNA_02877,g000087,Afu1g13020-T-p1,3.5e-273,NA,NA,EF-hand_1=4.2e-09;EF-hand_4=2.3e-51;End3=1.2e-72,sp|B0XR88|END3_ASPFC,2e-271,END3_ASPFC,ASPFC
AZTEC-7-225_006486-T1,Afum_AZTEC_7_225_mRNA_06304,g000088,Afu6g01905-T-p1,1e-148,NA,NA,NA,NA,NA,NA,NA
AF100-10-5_000724-T1,Afum_AF100_10_5_mRNA_00710,g000089_1,Afu2g08040-T-p1,0,NA,NA,Zn_clus=8.7e-12,NA,NA,NA,NA
IFM-59361-1_009691-T1,Afum_IFM_59361_1_mRNA_09233,g000089_2,Afu7g08250-T-p1,0,NA,NA,Zn_clus=2.5e-11,NA,NA,NA,NA
IFM-59361-1_005095-T1,Afum_IFM_59361_1_mRNA_04738,g000090,Afu4g00770-T-p1,0,NA,NA,NA,NA,NA,NA,NA
B5288-CDC-16_008985-T1,Afum_B5288_CDC_16_mRNA_08744,g000091,Afu7g05040-T-p1,0,NA,NA,Bac_rhamnosid6H=1.6e-18,NA,NA,NA,NA
MO76959EXP_004845-T1,Afum_MO76959EXP_mRNA_04750,g000092,Afu3g11960-T-p1,0,NA,NA,FHA=1.1e-09;Forkhead=3.2e-37,sp|Q5A7S7|FKH2_CANAL,1e-66,FKH2_CANAL,CANAL
AZTEC-4-250_005633-T1,Afum_AZTEC_4_250_mRNA_05500,g000093,Afu5g08120-T-p1,0,NA,NA,ArgJ=6.2e-153,sp|B0Y3W4|ARGJ_ASPFC,0,ARGJ_ASPFC,ASPFC
MO69250EXP_002553-T1,Afum_MO69250EXP_mRNA_02497,g000094,Afu2g08440-T-p1,0,NA,NA,DUF3517=1.1e-125;UCH=3.8e-44;UCH_1=1.3e-16,sp|Q6ZQ93|UBP34_MOUSE,2.4e-63,UBP34_MOUSE,MOUSE
AF100-12-37_010041-T1,Afum_AF100_12_37_mRNA_09776,g000095_1,Afu7g05250-T-p1,0,NA,NA,Abhydrolase_1=3.5e-13;EPL1=2.7e-38;PHD=1.6e-11;PHD_2=1.4e-15;zf-HC5HC2H=2.9e-28;zf-HC5HC2H_2=2.2e-33,sp|Q12311|NTO1_YEAST,2.8e-85,NTO1_YEAST,YEAST
NCPF-7816_009394-T1,Afum_NCPF_7816_mRNA_09204,g000095_2,Afu7g05250-T-p1,0,NA,NA,EPL1=1.2e-38;PHD=1.1e-11;PHD_2=1e-15;zf-HC5HC2H=2.2e-28;zf-HC5HC2H_2=1.8e-33,sp|Q12311|NTO1_YEAST,1.1e-85,NTO1_YEAST,YEAST
DMC2AF100-1-15_003425-T1,Afum_DMC2_AF1001_15_mRNA_03332,g000096,Afu3g00840-T-p1,0,NA,NA,BBE=1.7e-06;FAD_binding_4=2.2e-20,sp|B6HLP5|CHYH_PENRW,1.4e-237,CHYH_PENRW,PENRW
DMC2-AF100-1-20-OE_009943-T1,Afum_DMC2_AF100_1_20_OE_mRNA_09777,g000097,NA,NA,NA,NA,Cgr1=3.9e-31,sp|Q9HEQ8|CGR1_ASPFU,2.7e-65,CGR1_ASPFU,ASPFU
IFM-59777_005925-T1,Afum_IFM_59777_mRNA_05669,g000098,Afu5g10240-T-p1,3.3e-197,NA,NA,NA,NA,NA,NA,NA
AF100-12-18_002727-T1,Afum_AF100_12_18_mRNA_02650,g000099,Afu1g13320-T-p1,3.2e-251,NA,NA,NAD_binding_11=1.2e-13;NAD_binding_2=5e-25,sp|O34969|YFJR_BACSU,3.6e-21,YFJR_BACSU,BACSU
