AZTEC-11-1066_000331-T1	14-3-3=3.3e-107
ASFUM12-7504462_008378-T1	Glutaredoxin=1.1e-20
ASFUM08-12-12-13_002142-T1	zf-HIT=4.1e-10
IFM-59361_004878-T1	FAD_binding_8=9.5e-12;Ferric_reduct=2.2e-21;NAD_binding_6=1.8e-17
ASFUM08-12-12-13_001698-T1	3-HAO=1.7e-57
ASFUM08-12-12-13_008040-T1	SNRNP27=3e-25
ASFUM08-19-02-10_007606-T1	Clat_adaptor_s=1.6e-44
ASFUM08-12-12-13_008471-T1	Pantoate_transf=2e-110;PEP_mutase=1.8e-09
ASFUM08-12-12-13_008222-T1	Med18=1.5e-68
ASFUM09-7500806_007489-T1	Fungal_trans=1.3e-13;Zn_clus=4.9e-09
ASFUM12-7504462_006463-T1	zf-C2H2=3.1e-07
AZTEC-17-234_004014-T1	OTU=1.2e-08
ASFUM12-7504462_007305-T1	DUF3435=1.2e-22
ASFUM08-12-12-13_000873-T1	Isochorismatase=5.7e-33
ASFUM08-12-12-13_004981-T1	APH=2.5e-25;Choline_kinase=2.3e-07
ASFUM08-12-12-13_005959-T1	DUF775=3.4e-66
SF1S6_003605-T1	Fungal_trans=1.3e-14;Zn_clus=7e-10
CM3720_008429-T1	LSM=4.4e-15
ASFUM08-12-12-13_003901-T1	MRP-L20=7.3e-68
ASFUM08-12-12-13_008967-T1	NAD_binding_4=1.8e-34;Polysacc_synt_2=3.9e-06
AZTEC-11-1066_002901-T1	dsrm=2.9e-08;Ribonuclease_3=5.1e-08
ASFUM08-12-12-13_007283-T1	RraA-like=1.8e-30
AP65_003784-T1	HSF_DNA-bind=2e-14
ASFUM08-19-02-46_006221-T1	Prenyltrans=2.8e-35;Prenyltrans=2.8e-35;Prenyltrans=2.8e-35;SQHop_cyclase_C=2.5e-52;SQHop_cyclase_N=2.5e-49
AF100-12-18_004647-T1	ketoacyl-synt=1.5e-09
ASFUM08-12-12-13_005908-T1	Pmp3=1.1e-20
RSF2S8_006066-T1	NACHT=2.5e-10
COH-762_003374-T1	Enolase_C=5.1e-144;Enolase_N=2.6e-59;MAAL_C=5.8e-06;Phosphorylase=0
ASFUM08-12-12-13_002433-T1	NCE101=1.5e-10
AZTEC-6-232_008607-T1	AAA=5.7e-12;RuvB_N=2.6e-11;TIP49=3.5e-168;TIP49_C=3.1e-22
ASFUM09-7500806_006332-T1	NUDIX=1.4e-27
ASFUM08-12-12-13_007240-T1	HMGL-like=2.4e-82
AF106-6-3_004070-T1	DOPA_dioxygen=1.7e-44
ASFUM08-12-12-13_008647-T1	DUF202=2.8e-19
ASFUM08-12-12-13_003900-T1	M20_dimer=1.2e-13;Peptidase_M20=2.8e-33
ASFUM117535A-1_002493-T1	Coprogen_oxidas=1.6e-138
ASFUM08-12-12-13_001461-T1	LSM=1.9e-19
ASFUM08-12-12-13_000239-T1	ATP-synt_J=2.9e-30
ASFUM08-12-12-13_003315-T1	TCTP=1.2e-63
ASFUM08-12-12-13_005961-T1	RNA_pol_Rpb8=5.4e-48
ASFUM08-12-12-13_003313-T1	SRP19=1.7e-35
ASFUM09-7500806_007490-T1	adh_short=2.4e-27;adh_short_C2=6.4e-20;KR=2.3e-06
ASFUM08-12-12-13_005544-T1	ABC_tran=5e-49;ABC_tran=5e-49;ABC_tran_Xtn=3.1e-22
ASFUM08-12-12-13_005381-T1	Arf=2.9e-10;MMR_HSR1=1.1e-06;Ras=5.1e-47;Roc=3.6e-17
AF100-10B_000734-T1	Isochorismatase=1.2e-45
ASFUM08-12-12-13_004403-T1	DUF1749=7.3e-108
ASFUM08-12-12-13_005104-T1	PIG-P=6.5e-58
ASFUM08-12-12-13_004309-T1	Med9=4e-19
ASFUM08-19-02-30_008476-T1	DnaJ=6.2e-22
COH-885_003560-T1	Adenylsucc_synt=3.9e-73
ASFUM08-12-12-13_006615-T1	DNA_binding_1=2.3e-28
ASFUM08-12-12-13_000376-T1	DUF952=6.2e-22
ASFUM08-12-12-13_005196-T1	DJ-1_PfpI=1.3e-15
ASFUM08-12-12-13_000399-T1	Zip=4e-62
ASFUM08-19-02-10_009409-T1	Pro_isomerase=4e-52
ASFUM08-12-12-13_002763-T1	EMP24_GP25L=5.2e-51
F21572_002755-T1	Acetyltransf_1=6.8e-12;Acetyltransf_10=5e-12;Acetyltransf_7=2.7e-11
CM3249b_004804-T1	ArsA_HSP20=5.5e-12;HSP20=1.9e-24
IFM-58401_004483-T1	Arf=3.4e-13;MMR_HSR1=4.2e-06;Ras=1.2e-53;Roc=7.7e-33
ASFUM08-12-12-13_008184-T1	ArsA_HSP20=7.4e-08;HSP20=4e-18
ASFUM08-12-12-13_006179-T1	DUF1275=1e-47
ASFUM08-12-12-13_009770-T1	dCMP_cyt_deam_1=4e-07
AF100-11A_002256-T1	Sec61_beta=8.2e-19
ASFUM08-19-02-30_004134-T1	Methyltransf_11=2.6e-13;Methyltransf_25=2.6e-12;WBS_methylT=2.8e-16
ASFUM08-19-02-46_002452-T1	Inositol_P=4.1e-54
ASFUM08-12-12-13_002158-T1	Dynein_light=6e-39
W72310_001600-T1	F-box=1.7e-05;RIO1=8.7e-06
ASFUM08-12-12-13_001877-T1	Cytochrom_C1=5.8e-94
ATCC46645_009881-T1	Sulfotransfer_4=2.6e-19
AF100-12-7G_002437-T1	HAD_2=5.3e-09;Hydrolase=2.1e-08
ASFUM08-12-12-13_000837-T1	Lipase_GDSL=3e-12;Lipase_GDSL_2=9.9e-29
ASFUM08-12-12-13_002335-T1	BCAS2=2.1e-69
COH-400_001947-T1	HNH_2=2.9e-16
AZTEC-3-226_002000-T1	Myb_DNA-binding=5.9e-29;Myb_DNA-binding=5.9e-29;Myb_DNA-bind_6=1.5e-20
ASFUM08-12-12-13_001158-T1	HMGL-like=1.9e-47
ASFUM08-12-12-13_003889-T1	CBFD_NFYB_HMF=1.1e-06;Histone=3.8e-18;Histone_H2A_C=3.5e-22
AF100-12-2_002479-T1	Yae1_N=5.1e-10
ASFUM08-12-12-13_007493-T1	NDUFA12=1.9e-15
ASFUM08-12-12-13_009901-T1	WD40=1.1e-43;WD40=1.1e-43;WD40=1.1e-43;WD40=1.1e-43;WD40=1.1e-43;WD40=1.1e-43;WD40=1.1e-43
ASFUM08-12-12-13_001532-T1	HORMA=1.1e-11
ASFUM08-12-12-13_007366-T1	SF3A2=3.2e-39;zf-met=4.2e-07
ASFUM08-12-12-13_000979-T1	Ribosomal_L13=3.5e-42
ASFUM12-7505446_002248-T1	zf-C3HC4=9.8e-08;zf-C3HC4_2=4.4e-09;zf-C3HC4_3=8e-09;zf-CCCH=9.9e-10;zf-RING_UBOX=4.6e-08
ASFUM08-12-12-13_008997-T1	TNT=1.3e-35
IFM-61610_002079-T1	Ribosomal_S8e=2.3e-56
ASFUM08-19-02-30_002124-T1	Metallophos=9e-42;STPPase_N=4.1e-24
CM7555_006842-T1	Acetyltransf_1=1.6e-07
COH-400_010642-T1	HSF_DNA-bind=1.4e-14
ASFUM08-12-12-13_002927-T1	zf-C2H2_aberr=7.5e-08
ASFUM08-19-02-46_006872-T1	RIO1=2.3e-43;RIO1=2.3e-43;Rio2_N=1.6e-34
ASFUM08-12-12-13_002764-T1	DUF3237=4.7e-54
ASFUM08-12-12-13_002552-T1	Aminotran_1_2=5.2e-06;Aminotran_5=3.8e-27
IFM-59361-1_004821-T1	DUF3435=5.8e-21
ASFUM08-12-12-13_009471-T1	Mt_ATP-synt_B=4e-54
ASFUM08-12-12-13_004214-T1	Sec20=6.5e-19
ASFUM08-12-12-13_005193-T1	DUF4149=9e-24
ASFUM08-12-12-13_002817-T1	PIG-Y=3.6e-23
AF293_000064-T1	Amino_oxidase=2.9e-07;FAD_binding_2=4.9e-06;FAD_binding_3=5.7e-09;HI0933_like=1.2e-07;NAD_binding_8=5.1e-15
ASFUM08-19-02-30_000283-T1	Ribosomal_L24e=2e-31
ASFUM10-01-02-27_009690-T1	DUF676=3.7e-08
AF106-6-2_002048-T1	Tmemb_14=6.3e-22
ASFUM08-12-12-13_004333-T1	RF-1=2.1e-22
ASFUM12-7504462_008055-T1	Ank=4.4e-19;Ank_2=1.8e-45;Ank_2=1.8e-45;Ank_2=1.8e-45;Ank_3=4.2e-25;Ank_4=6.3e-34;Ank_4=6.3e-34;Ank_5=4.3e-30;Ank_5=4.3e-30
ASFUM08-12-12-13_005737-T1	Abhydrolase_1=1.7e-25;Abhydro_lipase=1.4e-22
CM2495_001820-T1	SLX9=4.3e-36
AZTEC-13-751_006892-T1	COX7C=2e-24
IFM-62516_005562-T1	APH=8.6e-30
ASFUM08-12-12-13_004258-T1	Sec5=1.2e-08;Vps51=3.8e-29
ASFUM12-7504462_008032-T1	DUF3723=1.7e-66;DUF3723=1.7e-66
ASFUM09-7500806_009883-T1	AAA_28=2.2e-28
B5289-CDC-25_001011-T1	zf-C2H2=1.9e-09
AZTEC-17-234_000778-T1	Sedlin_N=2e-46
AF100-12-35_008951-T1	Ank_2=1.8e-10
ASFUM12-7505054_006687-T1	Ribonuc_L-PSP=5.5e-40
ASFUM08-12-12-13_010017-T1	Prenyltrans=4.1e-59;Prenyltrans=4.1e-59;Prenyltrans=4.1e-59;Prenyltrans=4.1e-59;Prenyltrans=4.1e-59
ASFUM08-19-02-10_002583-T1	Ank_2=5.7e-08;Ank_3=2e-07;Ank_4=6.3e-09;Ank_5=1.8e-13
ASFUM08-12-12-13_000406-T1	Cyclin_C=4.8e-12;Cyclin_N=1.4e-36
AF100-12-8_001318-T1	Glyco_transf_34=7.9e-68
ASFUM08-12-12-13_001159-T1	DUF1674=1.5e-20
AF100-12-39_004589-T1	DIM1=6.2e-70
ASFUM12-7505220_000281-T1	APH=1.2e-13;Choline_kinase=4.6e-07
AF100-11-3_008513-T1	Ribosomal_L28=1.3e-19
ASFUM08-19-02-30_010225-T1	CP2=9.1e-67
ASFUM08-12-12-13_002600-T1	FAM192A_Fyv6_N=3.7e-34
ASFUM08-12-12-13_006978-T1	AA9=2.6e-67
ASFUM08-12-12-13_005378-T1	Elf1=9.5e-32
A1163_007851-T1	Pkinase=1.7e-11;PK_Tyr_Ser-Thr=2.9e-07
AF100-11B_001731-T1	HSF_DNA-bind=3.9e-13
ASFUM08-12-12-13_002550-T1	IF-2B=8.1e-63
ASFUM08-12-12-13_000595-T1	DUF1349=1.1e-31
ASFUM08-12-12-13_007497-T1	ORMDL=3.8e-61
ASFUM08-19-02-10_007793-T1	DUF2235=5.4e-30
ASFUM08-12-12-13_001640-T1	Ribosomal_L37ae=1.5e-42
ASFUM08-12-12-13_009618-T1	NAD_binding_10=1.8e-08
CM2495_005258-T1	Ribosomal_L23=5.7e-17;Ribosomal_L23eN=1.8e-28
IFM-59361-2_000919-T1	GFA=2.3e-08
ASFUM08-12-12-13_001038-T1	4HBT=3.7e-13
ASFUM08-19-02-10_003883-T1	G10=3.3e-69
AF293_006243-T1	CS=3.5e-08
ASFUM08-12-12-13_000855-T1	AMP_deaminase=1.7e-12;A_deaminase=5.2e-96
AF100-12-3G_005578-T1	SOR_SNZ=1.9e-110;ThiG=9.7e-11
ASFUM08-12-12-13_000620-T1	Ribosomal_L7Ae=2.9e-28;RNase_P_pop3=6.5e-06
ASFUM08-12-12-13_008370-T1	RCR=1.5e-20
ASFUM08-12-12-13_010192-T1	YqeY=4.7e-20
AF100-12-38_008516-T1	Glyco_transf_61=2.3e-17
ASFUM08-12-12-13_005488-T1	NDUFA12=8e-33
ASFUM08-12-12-13_005830-T1	Cation_efflux=6.6e-61
ASFUM08-12-12-13_003994-T1	Coq4=8.9e-100
AF100-12-17_008841-T1	3Beta_HSD=5.4e-07;NAD_binding_10=1.2e-20;NmrA=3.8e-63
ASFUM08-12-12-13_008759-T1	FKBP_C=4.7e-35
AF100-12-38_004082-T1	Chitin_bind_1=9.6e-15;Glyco_hydro_18=1.3e-70;MU117=7e-14
AZTEC-17-234_000845-T1	TB2_DP1_HVA22=1e-24
MO79587EXP_006490-T1	TRI5=1.3e-20
ASFUM08-12-12-13_008934-T1	Patatin=3.6e-21
ASFUM08-12-12-13_002318-T1	PCI=1.4e-22;RPN6_C_helix=1.4e-12;RPN6_N=5.4e-48
AFIS-23107-CDC-12_002189-T1	DUF3435=5.8e-30
ASFUM08-12-12-13_009893-T1	RRM_Rrp7=8.8e-35;RRP7=2e-29
ASFUM08-12-12-13_005483-T1	Spo12=4.3e-17
ASFUM08-12-12-13_010136-T1	Ribosomal_L1=6.5e-64
ASFUM08-12-12-13_002510-T1	Glutaredoxin=3.6e-16
ASFUM08-12-12-13_007254-T1	Dabb=1.6e-13
ASFUM08-12-12-13_001315-T1	L31=3.3e-47
ASFUM08-31-08-91_006890-T1	PNP_UDP_1=1.3e-11
ASFUM08-19-02-46_001015-T1	CID=3e-08;CTK3=3.9e-55;CTK3_C=2.1e-20
CM2495_001301-T1	MFS_1=1e-21;Sugar_tr=5.4e-128
ASFUM08-12-12-13_007893-T1	Cupin_3=2.6e-10;EutQ=2.6e-12
ASFUM12-7504462_008051-T1	Ank_2=9.8e-26;Ank_2=9.8e-26;Ank_4=2.6e-25
ASFUM08-12-12-13_008113-T1	adh_short=9.4e-35;adh_short_C2=1.9e-24;Epimerase=6.9e-08;KR=6.5e-13
DMC2AF100-1-3_007206-T1	Peptidase_M19=1.4e-23
AZTEC-11-1066_010202-T1	HSP9_HSP12=1.5e-28
ASFUM08-12-12-13_002359-T1	Ribo_biogen_C=8.3e-53;RLI=1.4e-12
ASFUM08-12-12-13_002573-T1	HLH=1.9e-13
ASFUM12-7504462_006452-T1	Glyco_transf_20=2.7e-133;Trehalose_PPase=1.9e-06
A1159_007709-T1	Grg1=2.8e-33
ASFUM08-12-12-13_000916-T1	Coa1=1.1e-06;TIM21=4.1e-44
ASFUM08-12-12-13_002790-T1	Arf=1.5e-80;Gtr1_RagA=1.5e-10;MMR_HSR1=2.2e-07;Ras=2.3e-14;Roc=4.2e-15;SRPRB=3.9e-16
CF098_001901-T1	Ribosomal_S10=5.4e-27
AF100-10A_007295-T1	Mog1=1.3e-24
B6892-CDC-3_006323-T1	Helicase_C=1e-14
ASFUM08-12-12-13_003890-T1	Complex1_LYR=1.4e-11
AFIS-23107-CDC-12_002183-T1	Fungal_trans=3.2e-14;Zn_clus=4.7e-10
ASFUM08-19-02-46_005319-T1	COX6B=3.7e-25
CM5757_000290-T1	OTT_1508_deam=1.5e-19
CM2495_009561-T1	Rhodanese=7.3e-17
CM2495_006666-T1	DnaJ=2.6e-22
CM2495_001678-T1	DUF2841=1.4e-36
AFUG-100413-0667_000319-T1	DUF3435=1.2e-166
F15927_003758-T1	PLAC8=2.8e-16
ASFUM08-19-02-30_001715-T1	FMN_dh=4.1e-118
ASFUM08-12-12-13_002347-T1	Rick_17kDa_Anti=3.7e-07
IFM-55369_004447-T1	ATP_sub_h=2.6e-27
AF100-11-3_009996-T1	Lipase_3=9.6e-32
ASFUM08-12-12-13_008964-T1	UQ_con=1.5e-44
ASFUM08-12-12-13_002444-T1	Myb_DNA-binding=8.7e-16
ASFUM08-12-12-13_003969-T1	MATalpha_HMGbox=8.5e-41
ASFUM08-12-12-13_004434-T1	Methyltransf_11=3.3e-12;Methyltransf_23=6.2e-08;Methyltransf_25=2.2e-09
F12636_005622-T1	Pet191_N=3.9e-29
COH-762_004850-T1	PFK=2.1e-201;PFK=2.1e-201
ASFUM08-12-12-13_001089-T1	HD_2=1.9e-11;HD_3=1e-52
AZTEC-8-224_001460-T1	Radical_SAM=2.7e-10
W72310_001603-T1	SRF-TF=2e-06
ASFUM08-12-12-13_000963-T1	Cir_N=6.3e-16;CWC25=1.1e-22
ASFUM08-12-12-13_009314-T1	ANAPC_CDC26=3.3e-16
W72310_006015-T1	zf-C3HC4=1.3e-06;zf-RING_2=6e-11
ASFUM08-12-12-13_007902-T1	CBP4=2.8e-32
ASFUM08-12-12-13_003670-T1	Cupin_2=2.2e-11
COH-762_008996-T1	I-set=3.2e-41;I-set=3.2e-41;ig=9e-21;ig=9e-21;Ig_2=7.1e-19;Ig_3=2.3e-31;Ig_3=2.3e-31
ASFUM08-19-02-46_006197-T1	adh_short=9e-48;adh_short_C2=4.3e-57;KR=2.9e-14
ASFUM08-12-12-13_008290-T1	SUR7=3.6e-59
AF100-12-7G_001479-T1	CMAS=3.8e-06;Methyltransf_11=5.5e-22;Methyltransf_12=7.4e-11;Methyltransf_23=4.2e-13;Methyltransf_25=1.4e-22;Methyltransf_31=4.6e-28;MTS=1.7e-07;PCMT=7.1e-07;PrmA=4.9e-12;Ubie_methyltran=1.3e-13;UPF0020=7.3e-07
AF100-12-2W_003701-T1	HsbA=1.2e-18
ASFUM08-12-12-13_001294-T1	zf-C2H2=2.4e-10;zf-C2H2=2.4e-10;zf-met=3.3e-07
ASFUM08-12-12-13_007093-T1	Mitoc_mL59=3.9e-49
ASFUM08-12-12-13_006527-T1	GST_C=2.8e-09;GST_C_2=8.8e-09;GST_C_3=4.6e-09;GST_N=1.5e-14;GST_N_2=3.1e-11;GST_N_3=1.8e-11
ASFUM08-12-12-13_000680-T1	PMM=7.4e-74
W72310_007673-T1	UbiA=2.7e-46
ASFUM08-12-12-13_000302-T1	Abhydrolase_1=7.9e-23;Abhydrolase_6=1.2e-17;BAAT_C=6.5e-08;Hydrolase_4=1.2e-21;Ndr=4.2e-07
ASFUM08-12-12-13_003327-T1	Glycos_transf_1=2e-27;Glyco_transf_4=8.2e-30;Glyco_trans_1_4=1.4e-24;Glyco_trans_4_2=1.8e-07;Glyco_trans_4_4=1.6e-13;PIGA=2.6e-48
ASFUM08-12-12-13_003766-T1	Isochorismatase=1.9e-27
ASFUM08-12-12-13_004700-T1	PIG-H=2.2e-28
ASFUM08-12-12-13_002833-T1	IF4E=3.1e-32
A1163_001839-T1	DUF3723=5.7e-109
ASFUM08-19-02-46_002171-T1	RGS=1.4e-13
ASFUM08-12-12-13_005917-T1	FA_hydroxylase=6.6e-23
F18329_000511-T1	LSM=1.5e-18
ASFUM08-12-12-13_000696-T1	Peptidase_M76=1.2e-75
ASFUM08-12-12-13_002553-T1	Metallophos_2=1.8e-15
ASFUM08-12-12-13_008547-T1	Glyco_hydro_25=3.2e-47
ASFUM08-12-12-13_002589-T1	Pre-PUA=5.7e-21;PUA=1.2e-16
ASFUM08-12-12-13_006995-T1	Arf=1.9e-15;Gtr1_RagA=5.5e-07;MMR_HSR1=6.6e-08;Ras=2.1e-60;Roc=8.3e-38
ASFUM08-12-12-13_010061-T1	CMAS=7.2e-06;PCMT=1.4e-06;RrnaAD=3.1e-69
ASFUM08-12-12-13_010189-T1	LSM=1.5e-15
B5269-CDC-24_004173-T1	Fungal_trans=3.4e-16
AZTEC-17-234_000335-T1	RRM_1=1.7e-16
ASFUM08-12-12-13_004082-T1	Abhydrolase_3=1.6e-41;Peptidase_S9=7.5e-07
ASFUM08-12-12-13_002146-T1	ERG2_Sigma1R=6.5e-101
ASFUM08-12-12-13_007316-T1	FBPase=1.1e-73;FBPase_C=2.7e-48
ASFUM08-12-12-13_002521-T1	Zn_clus=1.6e-10
AF100-12-35_001846-T1	PQ-loop=1.2e-39;PQ-loop=1.2e-39
W72310_002370-T1	CinA=3.9e-38
ASFUM08-12-12-13_002694-T1	Rad60-SLD=4.1e-22;ubiquitin=1.3e-12
ASFUM08-12-12-13_005953-T1	Pantoate_ligase=2.5e-93
ASFUM08-12-12-13_003210-T1	Ribosomal_S8=2.2e-23
ASFUM08-12-12-13_001497-T1	ATP-synt_C=6.4e-26;ATP-synt_C=6.4e-26
ASFUM08-19-02-61_005027-T1	BTB=2.9e-12
AF106-6-2_002658-T1	V-SNARE_C=2e-15
CM2495_000718-T1	Tmemb_170=1.4e-23
ASFUM08-12-12-13_005397-T1	Bmt2=5.8e-94
ASFUM08-12-12-13_006225-T1	ECR1_N=1.2e-12;EXOSC1=4e-30
ASFUM08-12-12-13_000081-T1	DUF4440=3.4e-14
ASFUM08-19-02-46_000605-T1	Ribosomal_L18=1.7e-95
ASFUM08-12-12-13_005441-T1	Swi5=9.3e-35
AFIS-23107-CDC-12_009886-T1	Rad52_Rad22=4.7e-42
ASFUM08-12-12-13_003351-T1	TauD=5.5e-54
ASFUM08-12-12-13_001054-T1	E1_DerP2_DerF2=9.5e-34
ATCC-204305_009457-T1	1-cysPrx_C=4e-14;AhpC-TSA=2.9e-32;Redoxin=2.5e-14
ASFUM08-12-12-13_007282-T1	Acetyltransf_2=2e-41
AF293_000053-T1	DnaJ=1.1e-22
F16311_009567-T1	RSN1_7TM=2e-61;RSN1_TM=4.2e-10
ASFUM08-19-02-46_005704-T1	FYVE=1.3e-21
W72310_006042-T1	RuBisCO_large=2.2e-131;RuBisCO_large_N=1e-44
M5960-D_002341-T1	ACBP=2.7e-16
ASFUM09-7500806_009640-T1	DUF3435=5.5e-145
ASFUM08-12-12-13_000573-T1	F1F0-ATPsyn_F=7.2e-43
ASFUM08-12-12-13_009485-T1	AcetylCoA_hydro=3e-53;AcetylCoA_hyd_C=9.9e-43
ASFUM08-12-12-13_005810-T1	Ribonuclease_3=3.8e-09;Ribonucleas_3_3=1.7e-30
ASFUM08-12-12-13_008436-T1	Methyltransf_11=7.8e-16;Methyltransf_12=2.7e-11;Methyltransf_23=9.2e-09;Methyltransf_25=3.5e-18;Methyltransf_31=1.7e-13;Ubie_methyltran=1.5e-81
CM2495_001295-T1	AA9=6.6e-50
F18329_004419-T1	TFIIB=2e-46;TFIIB=2e-46;TF_Zn_Ribbon=3.7e-11
ASFUM08-12-12-13_001850-T1	DUF6314=1.6e-23
ASFUM08-19-02-30_004649-T1	GSHPx=1.1e-40
Af65_001782-T1	Chitin_bind_1=1.6e-09;Glyco_hydro_18=1.5e-71
ASFUM12-7504462_001924-T1	BTB=3.1e-12
ASFUM08-12-12-13_005146-T1	Tim17=6.4e-42
ASFUM08-12-12-13_007608-T1	DUF3435=1.5e-160
ASFUM08-12-12-13_006602-T1	YL1_C=5.2e-18
ASFUM08-12-12-13_005987-T1	Metallophos=5e-37
ASFUM08-12-12-13_007068-T1	HYPK_UBA=2.3e-17
ASFUM08-12-12-13_010153-T1	Complex1_LYR=3.9e-08
ASFUM08-12-12-13_003571-T1	GFA=1.4e-28
ASFUM08-19-02-46_005203-T1	ChaC=4.3e-53;ChaC=4.3e-53
AF100-12-7G_004421-T1	VIT1=2.4e-64
AF100-12-26_008010-T1	Sedlin_N=6.4e-14
AF100-11-3_007412-T1	Methyltransf_11=8.7e-14;Methyltransf_12=4.4e-11;Methyltransf_23=5.1e-18;Methyltransf_25=1.7e-14;Methyltransf_31=4e-16;Ubie_methyltran=6.4e-06
ASFUM08-12-12-13_000331-T1	CGI-121=1.5e-56
ASFUM12-7504652_008123-T1	PH=2.6e-08;SAM_1=5.9e-13;SAM_2=9.8e-13
ASFUM08-12-12-13_003095-T1	Cmc1=1.2e-15
AF100-10A_008152-T1	Aa_trans=2.9e-51
ASFUM08-19-02-10_002971-T1	DUF202=2.3e-23
ASFUM12-7504462_008026-T1	Ank=1.2e-28;Ank_2=6.8e-51;Ank_2=6.8e-51;Ank_2=6.8e-51;Ank_2=6.8e-51;Ank_3=1.2e-34;Ank_4=1.3e-41;Ank_4=1.3e-41;Ank_4=1.3e-41;Ank_4=1.3e-41;Ank_5=4.6e-26;Ank_5=4.6e-26
ASFUM08-12-12-13_002935-T1	Arf=1.3e-16;G-alpha=4.9e-126
ASFUM08-12-12-13_009368-T1	CSN8_PSD8_EIF3K=2e-28
