Gene,OrigName,PIRATE_Cluster,Af293_name,Af293_Evalue,VOG,VOG_Evalue,Pfam_hits,SPROT_name,SPROT_Evalue,SPROT_gene,SPROT_taxa,Kingdom,taxon_id,Species
COH-762_001741-T1,Afum_COH_762_mRNA_01667,g002374,NA,NA,NA,NA,Methyltransf_2=1.5e-22,sp|Q9UQY0|AFLO_ASPPU,6.8e-73,AFLO_ASPPU,ASPPU,Eukaryota,1403190,Aspergillus parasiticus (strain ATCC 56775 / NRRL 5862 / SRRC 143 / SU-1)
ASFUM1F1SW-F4_006466-T1,Afum_1F1SW_F4_mRNA_06369,g002379,NA,NA,NA,NA,RraA-like=1.6e-60;RraA-like=1.6e-60,sp|Q48806|DLPA_LEGPH,6.6e-44,DLPA_LEGPH,LEGPH,Bacteria,272624,Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513)
AF100-12-2_000051-T1,Afum_AF100_12_2_mRNA_00050,g002414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF100-12-24_006562-T1,Afum_AF100_12_24_mRNA_06310,g002415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM12-7504462_010567-T1,Afum_12_7504462_mRNA_10314,g002416,NA,NA,NA,NA,SUR7=1.7e-18,NA,NA,NA,NA,NA,NA,NA
AZTEC-17-234_009622-T1,Afum_AZTEC_17_234_mRNA_09309,g002420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IFM-59361_009951-T1,Afum_IFM_59361_mRNA_09490,g002527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF100-12-35_003480-T1,Afum_AF100_12_35_mRNA_03361,g002556,NA,NA,NA,NA,Ank=1.3e-17;Ank_2=8.3e-22;Ank_3=3.9e-12;Ank_4=1.6e-15;Ank_5=9.9e-18;Pkinase=1.2e-10,sp|P16157|ANK1_HUMAN,5.8e-68,ANK1_HUMAN,HUMAN,Eukaryota,9606,Homo sapiens
CM2730_008515-T1,Afum_CM2730_mRNA_08284,g002679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM08-19-02-30_009554-T1,Afum_08_19_02_30_mRNA_09380,g002700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_004545-T1,Afum_08_12_12_13_mRNA_04459,g002765,NA,NA,NA,NA,JmjC=5.8e-07,sp|O97101|CBFA_DICDI,4.7e-22,CBFA_DICDI,DICDI,Eukaryota,44689,Dictyostelium discoideum
DMC2AF100-1-3_004837-T1,Afum_DMC2_AF100_1_3_mRNA_04641,g002778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF100-12-35_001634-T1,Afum_AF100_12_35_mRNA_09358,g002844,NA,NA,NA,NA,FAD_binding_8=2.1e-08;NAD_binding_6=1.1e-09,NA,NA,NA,NA,NA,NA,NA
AF100-12-27_003137-T1,Afum_AF100_12_27_mRNA_03005,g002981,NA,NA,NA,NA,DUF4246=4.9e-40;DUF4246=4.9e-40,NA,NA,NA,NA,NA,NA,NA
IFM-58026_002543-T1,Afum_IFM_58026_mRNA_02456,g003001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM4602_007768-T1,Afum_CM4602_mRNA_07553,g003016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF293_003738-T1,Afum_AF293_mRNA_03665,g003020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM12-7505220_009820-T1,Afum_12_7505220_mRNA_09516,g003034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM10-01-02-27_009705-T1,Afum_10_01_02_27_mRNA_09545,g003037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_004972-T1,Afum_08_12_12_13_mRNA_04882,g003039_1,NA,NA,NA,NA,Zn_clus=1.7e-09,NA,NA,NA,NA,NA,NA,NA
ATCC46645_003514-T1,Afum_ATCC46645_mRNA_10300,g003039_2,NA,NA,NA,NA,Zn_clus=5.8e-09,NA,NA,NA,NA,NA,NA,NA
TP32_006389-T1,Afum_TP32_mRNA_06246,g003039_3,NA,NA,NA,NA,Zn_clus=7.5e-09,NA,NA,NA,NA,NA,NA,NA
DMC2AF100-1-18_005865-T1,Afum_DMC2_AF100_1_18_mRNA_05667,g003040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF100-12-18_007879-T1,Afum_AF100_12_18_mRNA_07693,g003157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1159_008274-T1,Afum_A1159_mRNA_08100,g003254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMC2AF100-1-18_004723-T1,Afum_DMC2_AF100_1_18_mRNA_04545,g003292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_010296-T1,Afum_08_12_12_13_mRNA_10113,g003335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IFM-59073_000918-T1,Afum_IFM_59073_mRNA_00901,g003369,NA,NA,NA,NA,Fe-S_biosyn=6e-12,NA,NA,NA,NA,NA,NA,NA
ASFUM08-19-02-46_004709-T1,Afum_08_19_02_46_mRNA_04603,g003392,NA,NA,VOG00002,1.4e-27,Ank=2.1e-26;Ank=2.1e-26;Ank_2=7.2e-38;Ank_2=7.2e-38;Ank_2=7.2e-38;Ank_3=5.8e-19;Ank_4=2.3e-24,sp|Q9VCA8|ANKHM_DROME,9.1e-50,ANKHM_DROME,DROME,Eukaryota,7227,Drosophila melanogaster
F13952_009571-T1,Afum_F13952_mRNA_09388,g003396,NA,NA,NA,NA,Ank_2=8.9e-23;Ank_2=8.9e-23,sp|O75179|ANR17_HUMAN,1.6e-53,ANR17_HUMAN,HUMAN,Eukaryota,9606,Homo sapiens
AZTEC-11-1066_007608-T1,Afum_AZTEC_11_1066_mRNA_07364,g003403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM3248_007076-T1,Afum_CM3248_mRNA_06932,g003419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMC2AF100-1-3_003892-T1,Afum_DMC2_AF100_1_3_mRNA_03744,g003541,NA,NA,NA,NA,SUI1=1.8e-29;UPF0139=7.6e-07,sp|P32911|SUI1_YEAST,8.7e-41,SUI1_YEAST,YEAST,Eukaryota,559292,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
AF100-11B_003436-T1,Afum_AF100_11B_mRNA_10079,g003630_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATCC46645_003997-T1,Afum_ATCC46645_mRNA_03756,g003630_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF100-12-18_008441-T1,Afum_AF100_12_18_mRNA_08246,g003689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF100-12-21_008815-T1,Afum_AF100_12_21_mRNA_08599,g003719,NA,NA,NA,NA,Cpn10=2.2e-13;Hydrophobin=1.4e-14,NA,NA,NA,NA,NA,NA,NA
ASFUM08-19-02-30_008260-T1,Afum_08_19_02_30_mRNA_08107,g003726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF100-12-2_009553-T1,Afum_AF100_12_2_mRNA_10014,g003733_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF106-6-3_007668-T1,Afum_AF106_6_3_mRNA_10044,g003733_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF106-6-3_003407-T1,Afum_AF106_6_3_mRNA_10054,g003733_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF100-12-7G_009129-T1,Afum_AF100_12_7G_mRNA_08743,g003747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF100-12-2_009498-T1,Afum_AF100_12_2_mRNA_09260,g003775,NA,NA,NA,NA,Zn_clus=9.7e-08,NA,NA,NA,NA,NA,NA,NA
ASFUM10-01-02-27_003183-T1,Afum_10_01_02_27_mRNA_03129,g003780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMC2-AF100-1-20-OE_007829-T1,Afum_DMC2_AF100_1_20_OE_mRNA_07690,g003783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZTEC-17-234_009525-T1,Afum_AZTEC_17_234_mRNA_09212,g003788,NA,NA,NA,NA,Rot1=4e-95,sp|A1DCU0|ROT1_NEOFI,8.6e-152,ROT1_NEOFI,NEOFI,Eukaryota,331117,Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181)
ASFUM08-12-12-13_008685-T1,Afum_08_12_12_13_mRNA_08537,g003790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
