SampleID	Strain	CONTIG COUNT	L50	L90	MAX	MEAN	MEDIAN	MIN	N50	N90	TOTAL LENGTH 	BUSCO_Complete	BUSCO_Single	BUSCO_Duplicate	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes
IFM_58029	IFM_58029	813	87	301	294534	34331.33	10808	505	104061	25348	27911368	98.7	98.7	0.0	0.6	0.7	4046
IFM_59356-3	IFM_59356-3	986	109	355	299534	28381.00	7643	500	82432	21824	27983670	98.7	98.6	0.1	0.7	0.6	4046
IFM_62516	IFM_62516	1086	121	400	275378	25825.62	7456	500	71390	19422	28046624	98.7	98.6	0.1	0.6	0.7	4046
IFM_59073	IFM_59073	699	83	269	428082	40207.92	13854	501	104466	29669	28105334	98.8	98.7	0.1	0.6	0.6	4046
IFM_61118	IFM_61118	1035	131	434	246899	26965.89	10872	500	65947	18705	27909700	98.8	98.7	0.1	0.7	0.5	4046
IFM_60514	IFM_60514	615	75	248	623288	45178.54	19264	500	111994	33059	27784800	98.9	98.8	0.1	0.5	0.6	4046
SRR068950	A1163	424	32	105	717521	68124.42	5849	504	272556	73005	28884756	98.9	98.8	0.1	0.5	0.6	4046
SRR5676590	MO79587EXP	225	14	48	2872216	123151.68	5609	502	581791	157388	27709129	99.0	98.9	0.1	0.4	0.6	4046
SRR617725	F12636	335	36	122	994745	85437.56	21894	512	240289	63411	28621583	99.0	98.9	0.1	0.4	0.6	4046
SRR617727	F13619	559	38	134	766966	52021.85	3906	501	224803	49573	29080214	99.0	98.9	0.1	0.4	0.6	4046
SRR617731	F14532	514	43	142	788390	54999.24	5681	507	207638	48379	28269610	99.0	98.9	0.1	0.4	0.6	4046
SRR617733	F15390	584	48	161	644259	48296.50	3946	500	185897	44601	28205154	99.0	98.9	0.1	0.3	0.7	4046
SRR617741	F5211G	309	36	113	798172	92525.37	28811	500	262691	66240	28590339	99.0	98.9	0.1	0.4	0.6	4046
ERR769498	Af293	290	22	68	1700927	98369.32	6299	512	393637	120436	28527104	99.1	99.0	0.1	0.3	0.6	4046
ERR769499	Af65	282	26	76	1100696	102144.67	11449	505	363712	96425	28804798	99.1	99.0	0.1	0.4	0.5	4046
ERR769501	12-7505220	395	19	76	1628102	73273.77	3471	500	452062	83246	28943139	99.1	99.0	0.1	0.4	0.5	4046
ERR769517	Afu_591-12	275	19	68	1622055	102148.44	7225	500	449466	110519	28090820	99.1	99.0	0.1	0.3	0.6	4046
SRR5676588	MO76959EXP	260	21	71	1192584	109368.43	7939	500	444514	112469	28435792	99.1	99.0	0.1	0.4	0.5	4046
SRR5676589	MO69250EXP	233	22	65	1097745	121980.76	7628	500	485895	118424	28421517	99.1	99.0	0.1	0.3	0.6	4046
SRR617720	AF41	393	34	108	727354	70625.10	6195	500	289960	74121	27755666	99.1	99.0	0.1	0.3	0.6	4046
SRR617726	F13535	366	35	118	909984	77604.69	13848	508	243195	65164	28403318	99.1	99.0	0.1	0.3	0.6	4046
SRR617736	F16216	424	39	125	611078	66090.68	7232	502	235526	52493	28022450	99.1	99.0	0.1	0.3	0.6	4046
SRR617737	F16311	267	23	80	1146338	105820.77	9847	502	377897	98792	28254146	99.1	99.0	0.1	0.3	0.6	4046
SRR617738	F17582	387	38	133	782431	72769.71	16756	504	220127	49475	28161876	99.1	99.0	0.1	0.3	0.6	4046
ERR769500	12-7505446	269	22	76	1233380	105539.70	13039	506	422452	90912	28390178	99.2	99.1	0.1	0.3	0.5	4046
ERR769507	08-36-03-25	536	24	85	1333900	54072.35	2259	504	383300	85269	28982780	99.2	99.1	0.1	0.2	0.6	4046
ERR769508	08-31-08-91	279	18	64	1449650	101685.84	4439	503	446515	105524	28370350	99.2	99.1	0.1	0.3	0.5	4046
ERR769512	08-19-02-46	311	20	76	1309679	90919.49	4472	503	404310	110323	28275960	99.2	99.1	0.1	0.3	0.5	4046
ERR769513	08-19-02-10	274	21	67	1320770	101964.75	5704	504	420069	124469	27938341	99.2	99.1	0.1	0.3	0.5	4046
ERR769515	Afu_1042-09	229	20	66	1732743	123406.26	13280	501	445170	114631	28260034	99.2	99.1	0.1	0.3	0.5	4046
ERR769516	Afu_343-P-11	499	24	100	1623155	57857.74	2600	500	418909	63778	28871013	99.2	99.1	0.1	0.3	0.5	4046
ERR769519	Afu_166-E11	265	21	65	1112072	106162.27	6403	501	514625	114472	28133002	99.2	99.1	0.1	0.3	0.5	4046
ERR769521	Afu_218-E11	257	20	67	1720452	109498.45	9488	500	506681	109674	28141101	99.2	99.1	0.1	0.3	0.5	4046
SRR4002444	1F1SW_F4	209	14	50	1942531	133760.00	6029	501	627787	139412	27955841	99.2	99.1	0.1	0.3	0.5	4046
SRR4142832	A1159-T0-2	302	23	71	1630670	92120.69	4103	503	365234	120241	27820449	99.2	99.2	0.0	0.3	0.5	4046
SRR5676587	MO54056EXP	221	25	74	1078860	129762.52	20845	511	404472	109400	28677518	99.2	99.1	0.1	0.3	0.5	4046
SRR5676591	MO78722EXP	199	21	68	1721595	143099.57	36355	504	472253	106488	28476814	99.2	99.1	0.1	0.3	0.5	4046
SRR5676593	MO89263LAB	231	20	63	1109744	122939.47	9404	500	502651	115808	28399017	99.2	99.1	0.1	0.3	0.5	4046
SRR617721	AF72	378	28	95	1006320	73414.57	4649	501	321171	77693	27750706	99.2	99.1	0.1	0.3	0.5	4046
SRR617722	AF90	273	27	92	1052378	102691.61	19027	535	339836	82973	28034809	99.2	99.1	0.1	0.3	0.5	4046
SRR617723	F12041	387	35	116	729743	73409.63	9122	503	253935	71268	28409526	99.2	99.1	0.1	0.4	0.4	4046
SRR617728	F13952	407	36	122	909985	69742.51	10157	504	229302	59658	28385202	99.2	99.1	0.1	0.3	0.5	4046
SRR617730	F14513G	392	34	118	909973	72452.53	10742	506	247216	62585	28401393	99.2	99.1	0.1	0.3	0.5	4046
SRR617732	F14946G	220	22	70	1146057	127991.08	19003	505	419130	117172	28158038	99.2	99.1	0.1	0.3	0.5	4046
SRR617739	F17729	277	28	87	1193303	101556.13	13663	509	366284	89295	28131049	99.2	99.1	0.1	0.3	0.5	4046
SRR617740	F17729W	318	33	101	700558	88362.62	12843	506	286237	82644	28099314	99.2	99.1	0.1	0.3	0.5	4046
SRR617742	F18085	311	24	82	1247749	90792.84	7088	505	406755	78768	28236574	99.2	99.1	0.1	0.4	0.4	4046
SRR617745	F17764	399	33	109	1170555	69551.76	4821	502	279793	70554	27751154	99.2	99.1	0.1	0.3	0.5	4046
ERR769503	12-7504652	290	19	62	1135399	96273.60	4444	503	507424	119081	27919344	99.3	99.2	0.1	0.2	0.5	4046
ERR769505	12-7505054	269	22	69	1049293	104597.29	10005	501	416291	100574	28136671	99.3	99.2	0.1	0.3	0.4	4046
ERR769506	08-12-12-13	284	22	67	1019797	98625.79	6459	500	465633	105503	28009725	99.3	99.2	0.1	0.2	0.5	4046
ERR769509	08-19-02-61	255	22	71	1355876	111090.56	10091	502	427632	100588	28328094	99.3	99.2	0.1	0.2	0.5	4046
ERR769510	08-19-02-30	243	18	60	1409676	116725.15	7268	500	507403	126874	28364212	99.3	99.2	0.1	0.3	0.4	4046
ERR769511	10-01-02-27	268	22	66	1024105	106222.90	6289	500	447757	128266	28467737	99.3	99.2	0.1	0.3	0.4	4046
ERR769514	Afu_942-09	231	19	65	1249977	122065.77	16218	500	449466	110518	28197192	99.3	99.2	0.1	0.3	0.4	4046
ERR769518	Afu_124-E11	256	21	71	1187714	109947.94	9701	500	436631	108472	28146672	99.3	99.2	0.1	0.2	0.5	4046
ERR769520	Afu_257-E11	242	19	67	1577607	116347.81	11154	500	446932	108472	28156171	99.3	99.2	0.1	0.3	0.4	4046
SRR4002443	ISSF_21	146	14	43	2292047	193985.22	22108	525	668216	190385	28321842	99.3	99.2	0.1	0.2	0.5	4046
SRR4142436	A1159	324	25	77	1272604	85649.19	3208	502	364706	98236	27750338	99.3	99.2	0.1	0.2	0.5	4046
SRR5676586	MO68507EXP	365	26	75	1148719	78433.39	3448	507	413501	110763	28628187	99.3	99.2	0.1	0.3	0.4	4046
SRR617724	F12219	278	31	90	869080	100083.38	12085	505	317058	90956	27823179	99.3	99.2	0.1	0.2	0.5	4046
SRR617729	F14403	256	24	79	1400692	110350.75	12714	504	380962	94913	28249792	99.4	99.3	0.1	0.2	0.4	4046
