ASFUM08-12-12-13	Aspergillus_fumigatus_08-12-12-13.LCG
DMC-AF100-1-20-OE	Aspergillus_fumigatus_DMC_AF100-1_20_OE.LCG
DMC-AF100-12-42	Aspergillus_fumigatus_DMC_AF100-12_42.LCG
DMC-AF100-1-24	Aspergillus_fumigatus_DMC_AF100-1_24.LCG
DMC-AF100-12-9	Aspergillus_fumigatus_DMC_AF100-12_9.LCG
DMC-AF100-1-3	Aspergillus_fumigatus_DMC_AF100-1_3.LCG
DMC-AF100-1-4	Aspergillus_fumigatus_DMC_AF100-1_4.LCG
DMC-AF100-1-8	Aspergillus_fumigatus_DMC_AF100-1_8.LCG
DMC-AF100-2B	Aspergillus_fumigatus_DMC_AF100-2B.LCG
DMC-AF100-3B	Aspergillus_fumigatus_DMC_AF100-3B.LCG
DMC-AF100-4B	Aspergillus_fumigatus_DMC_AF100-4B.LCG
DMC-AF100-5B	Aspergillus_fumigatus_DMC_AF100-5B.LCG
DMC-AF100-6B	Aspergillus_fumigatus_DMC_AF100-6B.LCG
DMC-AF100-7B	Aspergillus_fumigatus_DMC_AF100-7B.LCG
DMC-AF100-8B	Aspergillus_fumigatus_DMC_AF100-8B.LCG
DMC-AF100-9B	Aspergillus_fumigatus_DMC_AF100-9B.LCG
F11628	Aspergillus_fumigatus_F11628.LCG
F12041	Aspergillus_fumigatus_F12041.LCG
F12219	Aspergillus_fumigatus_F12219.LCG
F12636	Aspergillus_fumigatus_F12636.LCG
F12865	Aspergillus_fumigatus_F12865.LCG
F13535	Aspergillus_fumigatus_F13535.LCG
F13619	Aspergillus_fumigatus_F13619.LCG
F13952	Aspergillus_fumigatus_F13952.LCG
F14403	Aspergillus_fumigatus_F14403.LCG
F14513G	Aspergillus_fumigatus_F14513G.LCG
F14532	Aspergillus_fumigatus_F14532.LCG
F14946G	Aspergillus_fumigatus_F14946G.LCG
F15390	Aspergillus_fumigatus_F15390.LCG
F15767	Aspergillus_fumigatus_F15767.LCG
F15927	Aspergillus_fumigatus_F15927.LCG
F16134	Aspergillus_fumigatus_F16134.LCG
F16216	Aspergillus_fumigatus_F16216.LCG
F16311	Aspergillus_fumigatus_F16311.LCG
F17582	Aspergillus_fumigatus_F17582.LCG
F17729	Aspergillus_fumigatus_F17729.LCG
F17729W	Aspergillus_fumigatus_F17729W.LCG
F17764	Aspergillus_fumigatus_F17764.LCG
F17999	Aspergillus_fumigatus_F17999.LCG
F18085	Aspergillus_fumigatus_F18085.LCG
F18149-JCVI	Aspergillus_fumigatus_F18149-JCVI.LCG
F18149-Manchester	Aspergillus_fumigatus_F18149-Manchester.LCG
F18304	Aspergillus_fumigatus_F18304.LCG
F18329	Aspergillus_fumigatus_F18329.LCG
F18454	Aspergillus_fumigatus_F18454.LCG
F20063	Aspergillus_fumigatus_F20063.LCG
F20140	Aspergillus_fumigatus_F20140.LCG
F20451	Aspergillus_fumigatus_F20451.LCG
F21572	Aspergillus_fumigatus_F21572.LCG
F21732	Aspergillus_fumigatus_F21732.LCG
F21857	Aspergillus_fumigatus_F21857.LCG
F4S1B	Aspergillus_fumigatus_F4S1B.LCG
F5211G	Aspergillus_fumigatus_F5211G.LCG
F7763	Aspergillus_fumigatus_F7763.LCG
histone-RFP	Aspergillus_fumigatus_histone_RFP.LCG
ICMP-23421	Aspergillus_fumigatus_ICMP-23421.LCG
IFM-55369	Aspergillus_fumigatus_IFM_55369.LCG
IFM-58026	Aspergillus_fumigatus_IFM_58026.LCG
IFM-58401	Aspergillus_fumigatus_IFM_58401.LCG
IFM-59056	Aspergillus_fumigatus_IFM_59056.LCG
IFM-59073	Aspergillus_fumigatus_IFM_59073.LCG
IFM-59355-1	Aspergillus_fumigatus_IFM_59355-1.LCG
IFM-59355-2	Aspergillus_fumigatus_IFM_59355-2.LCG
IFM-59356-1	Aspergillus_fumigatus_IFM_59356-1.LCG
IFM-59356-2	Aspergillus_fumigatus_IFM_59356-2.LCG
IFM-59359	Aspergillus_fumigatus_IFM_59359.LCG
IFM-59361-1	Aspergillus_fumigatus_IFM_59361-1.LCG
IFM-59361-2	Aspergillus_fumigatus_IFM_59361-2.LCG
IFM-59361	Aspergillus_fumigatus_IFM_59361.LCG
IFM-59777	Aspergillus_fumigatus_IFM_59777.LCG
IFM-60237	Aspergillus_fumigatus_IFM_60237.LCG
IFM-60514	Aspergillus_fumigatus_IFM_60514.LCG
IFM-61118	Aspergillus_fumigatus_IFM_61118.LCG
IFM-61407	Aspergillus_fumigatus_IFM_61407.LCG
IFM-61578	Aspergillus_fumigatus_IFM_61578.LCG
IFM-61610	Aspergillus_fumigatus_IFM_61610.LCG
IFM-62516	Aspergillus_fumigatus_IFM_62516.LCG
ISSF-21	Aspergillus_fumigatus_ISSF_21.LCG
JCM-10253	Aspergillus_fumigatus_JCM_10253.LCG
JN10	Aspergillus_fumigatus_JN10.LCG
LMB-35Aa	Aspergillus_fumigatus_LMB-35Aa.LCG
M128	Aspergillus_fumigatus_M128.LCG
M5960-D	Aspergillus_fumigatus_M5960-D.LCG
Mg18-1	Aspergillus_fumigatus_Mg18-1.LCG
MO54056EXP	Aspergillus_fumigatus_MO54056EXP.LCG
MO68507EXP	Aspergillus_fumigatus_MO68507EXP.LCG
MO69250EXP	Aspergillus_fumigatus_MO69250EXP.LCG
MO76959EXP	Aspergillus_fumigatus_MO76959EXP.LCG
MO78722EXP	Aspergillus_fumigatus_MO78722EXP.LCG
MO79587EXP	Aspergillus_fumigatus_MO79587EXP.LCG
MO91298SB	Aspergillus_fumigatus_MO91298SB.LCG
Moose311	Aspergillus_fumigatus_Moose_3-1.1.LCG
Moose312	Aspergillus_fumigatus_Moose-3_1_2.LCG
NCPF-7811	Aspergillus_fumigatus_NCPF-7811.LCG
NCPF-7816	Aspergillus_fumigatus_NCPF-7816.LCG
NCPF-7820	Aspergillus_fumigatus_NCPF-7820.LCG
NCPF-7822	Aspergillus_fumigatus_NCPF-7822.LCG
Oryx-1	Aspergillus_fumigatus_Oryx-1.LCG
RSF2S8	Aspergillus_fumigatus_RSF2S8.LCG
SF1S5	Aspergillus_fumigatus_SF1S5.LCG
SF1S6	Aspergillus_fumigatus_SF1S6.LCG
SF2S6	Aspergillus_fumigatus_SF2S6.LCG
SF2S9	Aspergillus_fumigatus_SF2S9.LCG
SF3S10	Aspergillus_fumigatus_SF3S10.LCG
SF3S1	Aspergillus_fumigatus_SF3S1.LCG
TP12	Aspergillus_fumigatus_TP12.LCG
TP32	Aspergillus_fumigatus_TP32.LCG
W72310	Aspergillus_fumigatus_W72310.LCG
